X,Y,Z
-3249.93,442.58,-378548.0625
-3244.59,432.73,-378548.0625
-3222.26,421.82,-378548.0625
-3210.87,411.73,-378548.0625
-3178.49,400.47,-378548.0625
-3153.05,389.79,-378548.0625
-3152.55,380.58,-378548.0625
-3159.01,371.71,-378548.0625
-3151.46,362.16,-378548.0625
-3092.93,350.42,-378548.0625
-3053.35,339.79,-378548.0625
-3037.71,330.31,-378548.0625
-3039.03,321.52,-378548.0625
-3044.33,312.85,-378548.0625
-3045.6,304.03,-378548.0625
-3071.83,295.87,-378548.0625
-3095.05,287.48,-378548.0625
-3051.26,277.58,-378548.0625
-3028.43,268.31,-378548.0625
-2988.58,258.92,-378548.0625
-3004.69,250.43,-378548.0625
-3025.78,241.88,-378548.0625
-3025.85,233.09,-378548.0625
-3043.89,224.35,-378548.0625
-1942.9,215.32,-378548.0625
-1931.89,209.71,-378548.0625
-1936.87,204.08,-378548.0625
-2938.79,189.87,-378548.0625
-2806.72,182.85,-378548.0625
-1945.7,187.08,-378548.0625
-2789.48,166.83,-378548.0625
-2751.34,159.5,-378548.0625
-2731.17,151.97,-378548.0625
-2677.99,145.41,-378548.0625
-2690.78,137.25,-378548.0625
-2697.53,129.21,-378548.0625
-2701.27,121.24,-378548.0625
-2721.97,112.6,-378548.0625
-2764.63,102.95,-378548.0625
-2760.29,95.09,-378548.0625
-2774.92,86.38,-378548.0625
-2778.53,78.12,-378548.0625
-2776.12,70.15,-378548.0625
-2752.72,63.35,-378548.0625
-2723.32,57.04,-378548.0625
-2716.86,49.49,-378548.0625
-2713.37,41.79,-378548.0625
-2716.84,33.64,-378548.0625
-2701.34,26.79,-378548.0625
-2672.86,20.98,-378548.0625
-2672.28,13.21,-378548.0625
-2657.73,6.53999999999999,-378548.0625
-2647.14,-0.360000000000014,-378548.0625
3761.102,4617.69,-378876
3992.962,4944.26,-378876
3645.982,4559.27,-378876
3626.272,4561.43,-378876
3743.042,5334.26,-378876
3722.242,5337.05,-378876
3707.552,5379.76,-378876
3693.672,5392.16,-378876
497.482,5098.33,-378876
484.562,5112.7,-378876
472.432,5136,-378876
490.632,5483.84,-378876
481.092,5549,-378876
198.612,4801.53,-378876
183.122,4750.15,-378876
169.462,4738.68,-378876
185.782,5571.64,-378876
145.052,4798.58,-378876
130.532,4759.01,-378876
117.392,4762.38,-378876
-2378.188,6866.97,-378876
-2393.128,6847.81,-378876
-2612.448,4767.63,-378876
-2627.188,4762.62,-378876
-3800.698,2729.6,-378876
-3804.658,2716.35,-378876
-3736.598,2656.02,-378876
-3690.018,2610.28,-378876
-3678.488,2587.61,-378876
-3662.648,2562.33,-378876
-3645.858,2536.62,-378876
-3663.578,2532.97,-378876
-3888.658,2659.73,-378876
-3793.518,2037.31,-378876
-3809.638,2031.44,-378876
-3830.268,2027.64,-378876
-3878.058,2036.5,-378876
-3965.718,2049.64,-378876
-3985.578,2044.79,-378876
-3979.858,1676.32,-378876
-3900.468,1634.28,-378876
-3928.098,1631.43,-378876
-3895.518,1518.12,-378876
-3878.408,1499.87,-378876
-3845.078,1476.42,-378876
-3887.718,1477.92,-378876
-3870.438,1459.87,-378876
-3834.158,1374.8,-378876
-3802.068,1353.03,-378876
-3755.508,1327.2,-378876
-3774.078,1320.78,-378876
-3857.958,1333.21,-378876
-3510.048,1111.69,-378876
-3561.118,1113.74,-378876
-3697.618,1136.8,-378876
-3666.298,1117.67,-378876
-3515.388,1069.65,-378876
-3999.808,1150.68,-378876
-3464.688,1014.76,-378876
-3817.988,1084.73,-378876
-3820.508,1073.63,-378876
-3741.958,1044.54,-378876
-3588.058,999.45,-378876
-3560.018,982.48,-378876
-3530.938,965.47,-378876
-3645.658,978.81,-378876
-3744.818,988.25,-378876
-3890.118,1006.5,-378876
-3876.718,992.04,-378876
-3871.108,979.22,-378876
-3884.118,970.07,-378876
-3365.758,859.05,-378876
-3349.928,845.93,-378876
-3442.208,852.98,-378876
-3400.768,835.07,-378876
-3455.708,834.73,-378876
-3430.908,819.99,-378876
-3452.358,813.44,-378876
-3459.998,804.41,-378876
-3297.598,757.01,-378876
-3225.118,735.46,-378876
-3195.018,721.07,-378876
-3188.568,710.56,-378876
-3189.008,701.14,-378876
-3204.258,693.94,-378876
-3245.218,690.43,-378876
-3249.558,681.43,-378876
-3166.728,660.14,-378876
-3152.158,648.75,-378876
-3142.508,638.12,-378876
-3138.768,628.33,-378876
-3175.658,623.81,-378876
-3186.758,615.83,-378876
-3235.548,612.43,-378876
-3278.398,608.03,-378876
-3286.478,599.31,-378876
-3242.868,584.66,-378876
-3192.248,569.49,-378876
-3218.128,562.9,-378876
-3360.338,568.42,-378876
-3375.288,560.07,-378876
-2984.208,511.29,-378876
-2930.308,497.33,-378876
-2927.138,488.45,-378876
-2981.698,484.81,-378876
-3000.408,477.72,-378876
-2991.188,468.16,-378876
-2899.228,451.88,-378876
-2867.008,440.86,-378876
-2813.808,428.44,-378876
-2761.558,416.4,-378876
-2837.938,413.69,-378876
-2817.558,404.04,-378876
-2875.978,399.57,-378876
-2870.508,390.85,-378876
-2824.088,379.76,-378876
-2844.528,372.67,-378876
-2816.008,362.88,-378876
-2882.348,357.97,-378876
-2872.768,349.13,-378876
-2817.198,338.33,-378876
-2822.538,330.35,-378876
-2791.888,320.97,-378876
-2902.118,316.71,-378876
-2930.378,309.18,-378876
-2857.678,298.53,-378876
-2843.908,289.86,-378876
-2837.118,281.43,-378876
-2838.298,273.21,-378876
-2856.458,265.28,-378876
-2819.598,256.44,-378876
-2808.698,248.11,-378876
-2797.788,239.85,-378876
-2994.848,232.91,-378876
-2991.888,224.19,-378876
-2382.898,215.4,-378876
-2415.888,208.39,-378876
-2475.858,201.03,-378876
-2626.798,192.55,-378876
-2396.738,187.55,-378876
-2351.658,181.24,-378876
-2329.548,174.79,-378876
-2427.408,166.04,-378876
-2627.198,154.37,-378876
-2616.018,147.02,-378876
-2639.798,138.73,-378876
-2612.578,131.92,-378876
-2622.318,123.98,-378876
-2612.048,116.74,-378876
-2634.728,108.22,-378876
-2663.378,99.31,-378876
-2658.038,91.8,-378876
-2639.688,84.97,-378876
-2683.248,75,-378876
-2691.808,66.71,-378876
-2597.528,64.34,-378876
-2629.018,54.85,-378876
-2443.918,59.02,-378876
-2620.058,40.11,-378876
-2593.598,34.31,-378876
-2527.238,31.56,-378876
-2623.418,16.91,-378876
-2610.868,10.23,-378876
-2603.288,3.21000000000001,-378876
3767.379,4599.13,-379194.34375
3687.009,4582.24,-379194.34375
3644.059,4556.97,-379194.34375
3770.379,5340.24,-379194.34375
3751.909,5346.36,-379194.34375
3739.899,5361.31,-379194.34375
3734.869,5385.96,-379194.34375
3720.399,5397.63,-379194.34375
3709.949,5414.95,-379194.34375
522.769,5066.5,-379194.34375
508.859,5070,-379194.34375
496.669,5090.37,-379194.34375
484.069,5107.73,-379194.34375
471.279,5124.06,-379194.34375
457.739,5133.38,-379194.34375
442.979,5129.73,-379194.34375
195.659,4734.6,-379194.34375
181.969,4722.17,-379194.34375
201.559,5576.06,-379194.34375
160.699,4863.09,-379194.34375
143.539,4751.61,-379194.34375
129.749,4732.02,-379194.34375
-2357.811,6871.02,-379194.34375
-2376.831,6863.2,-379194.34375
-2610.561,4795.19,-379194.34375
-2615.921,4773.71,-379194.34375
-3994.391,2808.07,-379194.34375
-3843.691,2448.23,-379194.34375
-3806.881,2412.04,-379194.34375
-3925.301,1962.11,-379194.34375
-3921.221,1946.65,-379194.34375
-3997.151,1735.66,-379194.34375
-3966.421,1619.26,-379194.34375
-3952.571,1601.43,-379194.34375
-3973.581,1595.85,-379194.34375
-3895.631,1210.31,-379194.34375
-3873.301,1192.61,-379194.34375
-3905.961,1080.93,-379194.34375
-3872.321,1061.67,-379194.34375
-3203.231,905.48,-379194.34375
-3848.241,1021.3,-379194.34375
-3798.671,999.38,-379194.34375
-3834.251,995.12,-379194.34375
-3798.271,976.31,-379194.34375
-3771.041,959.45,-379194.34375
-3765.331,946.95,-379194.34375
-3736.021,929.99,-379194.34375
-3722.361,916.16,-379194.34375
-3690.961,899.14,-379194.34375
-3665.391,883.38,-379194.34375
-3637.791,867.42,-379194.34375
-3670.201,862.23,-379194.34375
-3684.871,853.79,-379194.34375
-3598.001,827.94,-379194.34375
-3454.791,793.19,-379194.34375
-3452.511,782.5,-379194.34375
-3395.901,763.06,-379194.34375
-3513.041,771.51,-379194.34375
-3482.031,756.22,-379194.34375
-3401.541,733.58,-379194.34375
-3401.061,723.4,-379194.34375
-3395.601,712.49,-379194.34375
-3405.941,703.9,-379194.34375
-3372.691,689.13,-379194.34375
-3382.971,680.55,-379194.34375
-3328.811,663.24,-379194.34375
-3316.221,651.73,-379194.34375
-3356.161,647.08,-379194.34375
-3217.511,619.7,-379194.34375
-3205.771,608.77,-379194.34375
-3136.411,590.99,-379194.34375
-3183.181,587.22,-379194.34375
-3142.521,573.21,-379194.34375
-3175.351,567.61,-379194.34375
-3165.421,557.2,-379194.34375
-3193.261,550.82,-379194.34375
-3210.141,543.17,-379194.34375
-3208.091,533.55,-379194.34375
-3242.851,527.49,-379194.34375
-3218.861,515.73,-379194.34375
-3195.811,504.21,-379194.34375
-3190.671,494.4,-379194.34375
-3099.791,477.36,-379194.34375
-3058.681,464.93,-379194.34375
-3010.551,452.18,-379194.34375
-3061.081,447.22,-379194.34375
-3117.601,442.41,-379194.34375
-3240.941,441.95,-379194.34375
-3260.551,433.8,-379194.34375
-3250.191,423.62,-379194.34375
-3203.871,411.3,-379194.34375
-3121.571,397.14,-379194.34375
-3050.201,384.08,-379194.34375
-2985.771,371.81,-379194.34375
-2902.321,358.96,-379194.34375
-2768.871,344.27,-379194.34375
-2727.271,334.39,-379194.34375
-2978.401,336.73,-379194.34375
-3001.731,328.94,-379194.34375
-2996.051,320.01,-379194.34375
-3045.321,312.88,-379194.34375
-3159.541,307.37,-379194.34375
-3211.781,299.56,-379194.34375
-3176.021,289.38,-379194.34375
-3159.221,279.8,-379194.34375
-3084.411,269.3,-379194.34375
-3063.561,260.03,-379194.34375
-3030.681,250.73,-379194.34375
-3023.771,241.87,-379194.34375
-2713.841,231.22,-379194.34375
-2705.881,223.31,-379194.34375
-2790.891,215.47,-379194.34375
-2959.881,206.89,-379194.34375
-2984.841,198.15,-379194.34375
-3007.781,189.28,-379194.34375
-2909.701,181.67,-379194.34375
-2794.601,174.87,-379194.34375
-2771.481,167.15,-379194.34375
-2800.321,158.51,-379194.34375
-2813.141,150.07,-379194.34375
-2774.951,142.89,-379194.34375
-2780.731,134.65,-379194.34375
-2893.431,122.98,-379194.34375
-2887.151,114.78,-379194.34375
-2926.821,104.88,-379194.34375
-2897.511,97.56,-379194.34375
-1806.191,136.6,-379194.34375
-2115.621,116.98,-379194.34375
-2027.431,115.17,-379194.34375
-1846.381,118.73,-379194.34375
-1859.071,112.65,-379194.34375
-1709.021,115.95,-379194.34375
-1690.751,112.09,-379194.34375
-1696.441,106.8,-379194.34375
-2760.741,30.71,-379194.34375
-2662.431,29.51,-379194.34375
-1850.021,80.79,-379194.34375
-1991.221,64.71,-379194.34375
-2008.711,57.52,-379194.34375
-1989.311,53.23,-379194.34375
3768.696,4600.65,-379520.46875
3667.666,4559.32,-379520.46875
3642.786,4555.44,-379520.46875
3776.916,5349.1,-379520.46875
3763.146,5361.69,-379520.46875
3751.686,5377.48,-379520.46875
3740.166,5393.25,-379520.46875
3729.746,5410.62,-379520.46875
3712.876,5419.02,-379520.46875
513.706,5115.74,-379520.46875
500.266,5125.19,-379520.46875
491.726,5184.35,-379520.46875
511.086,5535.14,-379520.46875
496.726,5548.56,-379520.46875
209.436,4746.98,-379520.46875
196.026,4742.59,-379520.46875
183.436,4757.14,-379520.46875
201.576,5576.06,-379520.46875
156.466,4743.16,-379520.46875
143.686,4755.6,-379520.46875
-2356.794,6868.19,-379520.46875
-2379.844,6871.68,-379520.46875
-2588.844,4787.96,-379520.46875
-2604.114,4783.89,-379520.46875
-2621.374,4783.25,-379520.46875
-3166.104,2746.98,-379520.46875
-3175.804,2739.63,-379520.46875
-3187.844,2734.12,-379520.46875
-3209.304,2735.97,-379520.46875
-3221.354,2730.33,-379520.46875
-3241.294,2730.77,-379520.46875
-3247.804,2720.73,-379520.46875
-3270.944,2723.46,-379520.46875
-3340.234,2761.27,-379520.46875
-3351.614,2754.57,-379520.46875
-3359.784,2745.42,-379520.46875
